"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD"
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-02","    2","0.95",,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-03",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-06","    3","0.25",,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-07",,,"0.44","7.5",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-08",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-09",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-10",,,"0.12",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-11",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-12",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-13",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-14",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-15",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-16",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-17",,,"1.56",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-18",,,"0.00",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-19",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-20",,,"0.14",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-21",,,"0.15",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-22",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-23",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-24",,,"0.02","0.1",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-25",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-26",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-27",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-28",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-30","    2","0.67",,,"10.7"
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-01-31",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-01",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-02",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-03",,,"0.04",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-04",,,"0.49",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-05",,,"0.52",,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-06",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-08","    2","0.40",,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-09",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-10",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-11",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-12",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-14","    2","0.27",,,"2.1"
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-15",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-16",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-17",,,"0.00","0.0",
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","2022-02-18",,,"0.75",,
